industry,enterprises,personnel_thousand,turnover_eur_million,turnover_per_employee_eur
Financial and insurance activities,15836,43,32860,764186
Real estate activities,42862,20,13455,672750
Wholesale and retail trade,55051,226,139835,618739
Manufacturing,28434,308,176687,573659
Construction,56140,162,45872,283160
Information and communication,20986,102,26992,264627
Transportation and storage,23695,108,25119,232583
"Professional, scientific and technical",68216,116,19726,170052
Accommodation and food service,16069,54,7603,140796
Administrative and support service,24409,144,15452,107306
"Agriculture, forestry and fishing",128011,44,3285,74659
